,year,month,pagecount_desktop_views,pagecount_mobile_views,pageview_desktop_views,pageview_mobile_views,pagecount_all_views,pageview_all_views
0,2007,12,2998.331524,0.0,0.0,0.0,2998.331524,0.0
1,2008,1,4930.90257,0.0,0.0,0.0,4930.90257,0.0
2,2008,2,4818.393763,0.0,0.0,0.0,4818.393763,0.0
3,2008,3,4955.405809,0.0,0.0,0.0,4955.405809,0.0
4,2008,4,5159.162183,0.0,0.0,0.0,5159.162183,0.0
5,2008,5,5584.691092,0.0,0.0,0.0,5584.691092,0.0
6,2008,6,5712.104279,0.0,0.0,0.0,5712.104279,0.0
7,2008,7,5306.302874,0.0,0.0,0.0,5306.302874,0.0
8,2008,8,5140.155519,0.0,0.0,0.0,5140.155519,0.0
9,2008,9,5479.533823,0.0,0.0,0.0,5479.533823,0.0
10,2008,10,5679.440782,0.0,0.0,0.0,5679.440782,0.0
11,2008,11,5415.832071,0.0,0.0,0.0,5415.832071,0.0
12,2008,12,5211.708451,0.0,0.0,0.0,5211.708451,0.0
13,2009,1,5802.681551,0.0,0.0,0.0,5802.681551,0.0
14,2009,2,5547.32086,0.0,0.0,0.0,5547.32086,0.0
15,2009,3,6295.159057,0.0,0.0,0.0,6295.159057,0.0
16,2009,4,5988.817321,0.0,0.0,0.0,5988.817321,0.0
17,2009,5,6267.516733,0.0,0.0,0.0,6267.516733,0.0
18,2009,6,5818.924182,0.0,0.0,0.0,5818.924182,0.0
19,2009,7,5801.646978,0.0,0.0,0.0,5801.646978,0.0
20,2009,8,5790.850384,0.0,0.0,0.0,5790.850384,0.0
21,2009,9,4057.515768,0.0,0.0,0.0,4057.515768,0.0
22,2009,10,6016.107147,0.0,0.0,0.0,6016.107147,0.0
23,2009,11,5768.48691,0.0,0.0,0.0,5768.48691,0.0
24,2009,12,5426.505977,0.0,0.0,0.0,5426.505977,0.0
25,2010,1,5703.465285,0.0,0.0,0.0,5703.465285,0.0
26,2010,2,5762.451418,0.0,0.0,0.0,5762.451418,0.0
27,2010,3,6661.347946,0.0,0.0,0.0,6661.347946,0.0
28,2010,4,6618.552152,0.0,0.0,0.0,6618.552152,0.0
29,2010,5,6410.578775,0.0,0.0,0.0,6410.578775,0.0
30,2010,6,4898.035014,0.0,0.0,0.0,4898.035014,0.0
31,2010,7,5296.177638,0.0,0.0,0.0,5296.177638,0.0
32,2010,8,7381.34666,0.0,0.0,0.0,7381.34666,0.0
33,2010,9,7546.488744,0.0,0.0,0.0,7546.488744,0.0
34,2010,10,10172.844562,0.0,0.0,0.0,10172.844562,0.0
35,2010,11,6948.678354,0.0,0.0,0.0,6948.678354,0.0
36,2010,12,7001.9521,0.0,0.0,0.0,7001.9521,0.0
37,2011,1,7568.511227,0.0,0.0,0.0,7568.511227,0.0
38,2011,2,6906.248849,0.0,0.0,0.0,6906.248849,0.0
39,2011,3,7326.545928,0.0,0.0,0.0,7326.545928,0.0
40,2011,4,6835.492088,0.0,0.0,0.0,6835.492088,0.0
41,2011,5,7009.799378,0.0,0.0,0.0,7009.799378,0.0
42,2011,6,6536.675534,0.0,0.0,0.0,6536.675534,0.0
43,2011,7,6571.730164,0.0,0.0,0.0,6571.730164,0.0
44,2011,8,6514.500361,0.0,0.0,0.0,6514.500361,0.0
45,2011,9,5837.738935,0.0,0.0,0.0,5837.738935,0.0
46,2011,10,6974.424665,0.0,0.0,0.0,6974.424665,0.0
47,2011,11,7507.641641,0.0,0.0,0.0,7507.641641,0.0
48,2011,12,6396.357939,0.0,0.0,0.0,6396.357939,0.0
49,2012,1,7808.477339,0.0,0.0,0.0,7808.477339,0.0
50,2012,2,7530.127141,0.0,0.0,0.0,7530.127141,0.0
51,2012,3,7358.543625,0.0,0.0,0.0,7358.543625,0.0
52,2012,4,7220.029422,0.0,0.0,0.0,7220.029422,0.0
53,2012,5,7784.479302,0.0,0.0,0.0,7784.479302,0.0
54,2012,6,7524.265988,0.0,0.0,0.0,7524.265988,0.0
55,2012,7,7819.376527,0.0,0.0,0.0,7819.376527,0.0
56,2012,8,7885.641059,0.0,0.0,0.0,7885.641059,0.0
57,2012,9,7913.689733,0.0,0.0,0.0,7913.689733,0.0
58,2012,10,8379.96005,0.0,0.0,0.0,8379.96005,0.0
59,2012,11,8219.987195,0.0,0.0,0.0,8219.987195,0.0
60,2012,12,8033.8269,0.0,0.0,0.0,8033.8269,0.0
61,2013,1,9126.210673,0.0,0.0,0.0,9126.210673,0.0
62,2013,2,8100.597857,0.0,0.0,0.0,8100.597857,0.0
63,2013,3,8701.419671,0.0,0.0,0.0,8701.419671,0.0
64,2013,4,8049.296729,0.0,0.0,0.0,8049.296729,0.0
65,2013,5,8089.099883,0.0,0.0,0.0,8089.099883,0.0
66,2013,6,7759.959725,0.0,0.0,0.0,7759.959725,0.0
67,2013,7,8237.301982,0.0,0.0,0.0,8237.301982,0.0
68,2013,8,9306.122925,0.0,0.0,0.0,9306.122925,0.0
69,2013,9,9985.326806,0.0,0.0,0.0,9985.326806,0.0
70,2013,10,10775.158269,0.0,0.0,0.0,10775.158269,0.0
71,2013,11,10414.877805,0.0,0.0,0.0,10414.877805,0.0
72,2013,12,7102.459747,0.0,0.0,0.0,7102.459747,0.0
73,2014,1,7026.531269,0.0,0.0,0.0,7026.531269,0.0
74,2014,2,6718.243109,0.0,0.0,0.0,6718.243109,0.0
75,2014,3,7464.128273,0.0,0.0,0.0,7464.128273,0.0
76,2014,4,7216.245221,0.0,0.0,0.0,7216.245221,0.0
77,2014,5,7543.277646,0.0,0.0,0.0,7543.277646,0.0
78,2014,6,6577.352648,0.0,0.0,0.0,6577.352648,0.0
79,2014,7,6761.059566,0.0,0.0,0.0,6761.059566,0.0
80,2014,8,6687.313714,0.0,0.0,0.0,6687.313714,0.0
81,2014,9,7564.600999,0.0,0.0,0.0,7564.600999,0.0
82,2014,10,6577.533128,3091.546685,0.0,0.0,9669.079813,0.0
83,2014,11,6153.537606,3027.489668,0.0,0.0,9181.027274,0.0
84,2014,12,5830.332248,3278.950021,0.0,0.0,9109.282269,0.0
85,2015,1,6103.767055,3485.302091,0.0,0.0,9589.069146,0.0
86,2015,2,5602.710439,3091.534479,0.0,0.0,8694.244918,0.0
87,2015,3,6346.602713,3330.832588,0.0,0.0,9677.435301,0.0
88,2015,4,6198.945657,3222.089917,0.0,0.0,9421.035574,0.0
89,2015,5,6323.801814,3334.069483,0.0,0.0,9657.871297,0.0
90,2015,6,5165.41364,3038.162463,0.0,0.0,8203.576103,0.0
91,2015,7,5229.226022,3254.472695,4376.666686,3288.755294,8483.698717,7665.42198
92,2015,8,5035.534449,3268.487582,4332.482183,3302.333038,8304.022031,7634.815221
93,2015,9,5409.631355,3172.429827,4485.491704,3170.203333,8582.061182,7655.695037
94,2015,10,5535.704471,3246.082505,4477.532755,3268.499132,8781.786976,7746.031887
95,2015,11,5296.956116,3218.234512,4287.72022,3236.60107,8515.190628,7524.32129
96,2015,12,5264.446173,3387.411863,4100.012037,3376.275307,8651.858036,7476.287344
97,2016,1,5569.632502,3739.628742,4436.179457,3717.836846,9309.261244,8154.016303
98,2016,2,5347.709361,3333.231392,4250.997185,3334.862272,8680.940753,7585.859457
99,2016,3,5407.676056,3419.853636,4286.590426,3386.684191,8827.529692,7673.274617
100,2016,4,5572.235399,3301.385124,4149.383857,3258.764002,8873.620523,7408.147859
101,2016,5,5330.532334,3418.435805,4191.778094,3395.033236,8748.968139,7586.81133
102,2016,6,4975.092447,3372.618063,3888.839711,3354.790945,8347.71051,7243.630656
103,2016,7,5363.966439,3500.661121,4337.865827,3496.573762,8864.62756,7834.439589
104,2016,8,913.675893,480.041296,4695.046216,3515.819303,1393.717189,8210.865519
105,2016,9,0.0,0.0,4135.006498,3393.285781,0.0,7528.292279
106,2016,10,0.0,0.0,4361.73769,3509.283891,0.0,7871.021581
107,2016,11,0.0,0.0,4392.068236,3591.044925,0.0,7983.113161
108,2016,12,0.0,0.0,4209.608578,3776.543855,0.0,7986.152433
109,2017,1,0.0,0.0,4521.980398,4231.961542,0.0,8753.94194
110,2017,2,0.0,0.0,4026.702163,3711.761399,0.0,7738.463562
111,2017,3,0.0,0.0,4319.971902,3903.493989,0.0,8223.465891
112,2017,4,0.0,0.0,3951.456992,3639.623119,0.0,7591.080111
113,2017,5,0.0,0.0,4187.870579,3686.68772,0.0,7874.558299
114,2017,6,0.0,0.0,3604.550997,3519.383193,0.0,7123.93419
115,2017,7,0.0,0.0,3565.444544,3725.059253,0.0,7290.503797
116,2017,8,0.0,0.0,3575.572313,3621.406302,0.0,7196.978615
117,2017,9,0.0,0.0,3547.447892,3531.604369,0.0,7079.052261
118,2017,10,0.0,0.0,3907.651639,3673.120542,0.0,7580.772181
119,2017,11,0.0,0.0,3816.060923,3670.012061,0.0,7486.072984
120,2017,12,0.0,0.0,3640.391096,3830.136304,0.0,7470.5274
121,2018,1,0.0,0.0,4111.833689,4259.282371,0.0,8371.11606
122,2018,2,0.0,0.0,3634.653694,3725.680728,0.0,7360.334422
123,2018,3,0.0,0.0,3965.271925,4049.874257,0.0,8015.146182
124,2018,4,0.0,0.0,3762.955419,3927.398111,0.0,7690.35353
125,2018,5,0.0,0.0,3675.652396,4089.188522,0.0,7764.840918
126,2018,6,0.0,0.0,3278.649434,3977.766741,0.0,7256.416175
127,2018,7,0.0,0.0,3457.051589,4266.113752,0.0,7723.165341
128,2018,8,0.0,0.0,3399.130789,4187.362161,0.0,7586.49295
129,2018,9,0.0,0.0,3433.832231,3977.120244,0.0,7410.952475
130,2018,10,0.0,0.0,3640.606578,4073.789753,0.0,7714.396331
131,2018,11,0.0,0.0,3448.616562,4033.38004,0.0,7481.996602
132,2018,12,0.0,0.0,3379.686909,4289.054166,0.0,7668.741075
133,2019,1,0.0,0.0,3616.017826,4597.597181,0.0,8213.615007
134,2019,2,0.0,0.0,3244.921935,4018.109995,0.0,7263.03193
135,2019,3,0.0,0.0,3439.3866,4407.290322,0.0,7846.676922
136,2019,4,0.0,0.0,3330.234244,4261.664166,0.0,7591.89841
137,2019,5,0.0,0.0,3364.959217,4413.76623,0.0,7778.725447
138,2019,6,0.0,0.0,2986.618238,4285.985271,0.0,7272.603509
139,2019,7,0.0,0.0,3140.657554,4557.26644,0.0,7697.923994
140,2019,8,0.0,0.0,2979.881198,4531.756543,0.0,7511.637741
